;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC1316084;The $FROMCOUNTRY_ADJ$ have refused to submit. The war must go on.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME1316085;The Treaty of Shimonoseki;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC1316085;The war with $FROMCOUNTRY$ is not going well. The damnable Japanese are in our lands and blockading our ports, and to the embarassment of our government there seems to be little we can do to stop them. $FROMCOUNTRY_ADJ$ diplomats have approached us to negotiate a 'fair' settlement-- hand over Formosa and pay reparations. While we could drag the war on and see if the $FROMCOUNTRY_ADJ$ have the wherewithal to finish their assault, it might be in our best interest to give them what they want, though the loss to our prestige would be considerable.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME1316086;$FROMCOUNTRY$ Agrees;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC1316086;The $FROMCOUNTRY_ADJ$ rulership has signed our peace treaty, granting us Formosa as well as reparations. This has improved relations between our countries tremendously, and should go a long way to ensuring $COUNTRY_ADJ$ influence in Asia remains strong.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC1316175;We have lost all patience with the barbarians who call themselves our 'masters'. They ignore our laws, our customs, and force themselves upon the generosity of the $COUNTRY_ADJ$ throne at every opportunity. It is time we turned them out, refused them their free reign in our lands and ports, and demonstrated the true might of our Emperor.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME1316176;$COUNTRY_ADJ$ Envoy Ejected;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC1316176;Relations have been cool with $FROMCOUNTRY$, laced with bitterness over our nation's superiority. Lately the situation has reached a boiling point, and we have received a report that the $COUNTRY_ADJ$ envoy to the $FROMCOUNTRY_ADJ$ court has been ejected. Indeed, $COUNTRY_ADJ$ nationals throughout $FROMCOUNTRY$ are reporting harassment and outright violence. $COUNTRY_ADJ$ are being refused berth at Chinese harbors. This is a systematic campaign by the $FROMCOUNTRY_ADJ$ emperor to reduce our influence.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME1316180;Empire of the Great Qing;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC1316180;China has no need for, nor interest in, foreigners and their gifts no matter how ingenious they may be. It is only due to the emperor's generosity that foreigners are allowed to trade at all, and all such trade must take place at our will. The yi barbarians should tremble as they obey us and show no negligence! Barbarians shall bow down before the Chinese emperor in the manner customary for tributary envoys.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME1316181;The Arrow Incident;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC1316181;Qing officials recently boarded the Arrow, a Chinese-owned ship (a lorcha) that was suspected of piracy and smuggling. Twelve Chinese crew members were arrested on suspicion of piracy by the Qing authorities. British officials have demanded the release of the sailors, however, claiming that because the ship had recently been British-registered, it was under their protection. The Imperial court has been enraged by this claim, suggesting that agreeing to British demands would give smugglers free reign throughout China.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTDESC1316182;Qing officials recently boarded the Arrow, a ship that-- according to all reports-- was flying British colors at the time. The Chinese claim this isn't the case, and we've received news that they intend to crack down on the opium trade throughout the Empire. The British government is up in arms, saying that we must exert our influence over the Qing if we are to retain our position in the Far East.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME131709;The Kowloon Incident;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131709;An incident that began with drunken sailors murdering a Chinese man has escalated into a larger crisis with the Qing government. We have insisted that these sailors be tried by a British judge-- the barbaric Chinese judicial system would result in these men getting anything but a fair trial. The chinese have demanded the men be turned over, and what's more that they be given the right to punish British citizens as needed. The confrontation has resulted in larger trade sanctions being applied against British merchants, and threats of worse. Our prestige as an Empire to be reckoned with is being threatened.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME131710;The Unequal Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131710;In a display of diplomatic force, $FROMCOUNTRY_ADJ$ diplomats have forced $COUNTRY$ to sign a treaty with them, forcing numerous trade as well as territory concessions.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME131711;The Simla Convention;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131711;British diplomats have approached the Tibet government, hoping to broker a peaceful arrangement between Tibet and China now that Tibet is independent. No doubt they intend to gain influence and territory in our nation, as well as an ally against Chinese aggression,, but the prospect of war should the negotiations fail seems likely.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC131712;British diplomats have approached the $COUNTRY_ADJ$ government, hoping to broker a peaceful arrangement between Tibet and $COUNTRY$ now that Tibet is independent. No doubt they intend to gain influence and territory in Tibet, as well as an ally against $COUNTRY_ADJ$ aggression,, but the prospect of war should the negotiations fail seems likely.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME131713;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131713;$FROMCOUNTRY_ADJ$ have agreed to the arrangements made at the Simla Convention, and our relations with them have improved as a result-- not to mention our prestige.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME131714;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131714;$FROMCOUNTRY_ADJ$ have refused the arrangements made at the Simla Convention, and our relations with them have cooled as a result.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME131715;The New Army;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131715;Our efforts to modernize the Beiyang army have borne fruit, but this has necessitated the division of authority among regional forces. The generals in charge of these forces, 'warlords' as some call them, have been gaining a great deal of power. They are part of the Beiyang Army, but fight amongst themselves... And, far worse, are critical of the $COUNTRY_ADJ$ government. We will need to watch these generals carefully.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME131720;Spread of Anhui Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131720;Warlord influence has begun to spread into $STATENAME$. These generals are still loyal to $COUNTRY$, but it is becoming increasingly apparent that they are taking control of a significant portion of the country. Officials in $CAPITAL$ are alarmed.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME131721;Spread of Guangdong Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131722;Spread of Guangxi Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131723;Spread of Hunan Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131724;Spread of Fengtian Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131725;Spread of Ma Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131726;Spread of Yunnan Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131727;Spread of Shanxi Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131728;Spread of Sichuan Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131729;Spread of Xinjiang Influence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME131730;The Warlord Era;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131730;Resistance against the $CAPITAL$ government has culminated in a breakdown in authority. What began with several of the outlying warlords declaring their indepedence has ended with the most powerful generals in the Beiyang Army struggling for control. A contest has begun regarding who will control the future of China's destiny, and most are certain it will not be long before the entire nation is engulfed in war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME131735;The Struggle for China;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131735;Now that we are free, we must choose where we stand in the ensuing struggle for the nation's destiny: either side with the Kuomintang and fight for domination of the republic or side with the Beiyang and fight for domination of a united China. Alternatively, we can declare our neutrality in the conflict and let the chips fall where they may.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME131736;The Guominjun Clique;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131736;A $COUNTRY_ADJ$ general by the name of Feng Yuxiang has betrayed his superiors and broken off from the Beiyang armies. He and his supporters have taken the territory under their control and formed a new clique, swearing to topple the $COUNTRY_ADJ$ government.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME131740;Leader of the Kuomintang;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131740;The leaders of the Kuomintang are preparing for their drive on Beijing, and $COUNTRY$ is expected to answer the call. Either we side with Nationalist China now, or we must abandon the Kuomintang cause and seek our own destiny.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME131741;$FROMCOUNTRY$ Joins the Kuomintang;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131741;$FROMCOUNTRY$ has answered the call, and will unite their forces with ours.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME131742;The War of Reunification;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131742;The $COUNTRY_ADJ$ people are crying out for the nation to once again unify. We must gather our strength and strike out at those who would divide China, leaving it weak for foreigners to prey upon. Already the banners are in the streets, and $COUNTRY$'s generals are saying now is the time to launch an offensive.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME131743;War with $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131743;We have received reports that the $FROMCOUNTRY_ADJ$ army is massing on our mutual border, ready to make a massive offensive into $COUNTRY_ADJ$ territory. It seems a war is upon us, whether we like it or not: either they destroy us or we destroy them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME131745;Chinese Reunification;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131745;The call has come from the capital: the era of warlords is over, and all the Chinese peoples must unite under a single flag. This means $COUNTRY$ must either submit to Beijing's rule or face more war against a strong and unified foe. Your generals stand ready to receive your command.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME131746;The Island of Formosa;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC131746;Now that we own the island of Formosa, the local Min population has begun to organize itself-- presumably towards the end of breaking away from $COUNTRY_ADJ$ control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME1600010;The Taiping Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC1600010;It is as we feared-- the so-called 'Heavenly Kingdom' has assumed control of lands in the south, and any attempts by the local governors to resume authority have failed. It is an embarassment to the prestige of the Imperial throne that we must deign to recognize that these rebels exist and must be dealt with once and for all. Some are even beginning to question the Mandate of Heaven if such a threat is possible. If we do not act, however, the rebels will surely gain control over not only the south but perhaps all of China.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME160004;Truce With the Manchu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC160004;Though we are not yet done battling the hated Manchu, for the moment the Heavenly Kingdom claims victory. We have forced a truce, and now the Manchu will need to deal with rebellions across their land as the people realize their mandate to rule no longer exists. All the world watches us.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME160006;The War Against Taiping;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC160006;The continued existence of the Taiping rebels is an embarassment to the Qing government and our Emperor. Calls have been made for the war to resume, and this time for a national effort be started to draft men into the Qing army. There will be considerable resistance, but the Emperor has decreed that the Heavenly Kingdom must be destroyed!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME160007;The War Against the Manchu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC160007;The truce with the Qing Emperor has come to an end, and already the calls have begun for the Taiping Revolution to continue. The Manchu must be thrown down! All of China must be freed!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME160008;The Taiping Are Victorious!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC160008;We have overthrown the hated Manchu and taken control of all China. Now, as the world watches, the true test comes: transforming the nation into the true Heavenly Kingdom.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME160011;The Female Shortage;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC160011;Due to the low value assigned to the birth of daughters, female infanticide has become wide-spread across much of China. The practice has become so common, in fact, it has led to a shortage of women.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME160012;Taiping Missionaries in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC160012;We have received reports of Christian missionaries in $PROVINCENAME$, followers of the so-called 'Heavenly Kingdom'. Their actions would not be so objectionable if they were not also preaching sedition against the Manchu-- and, far worse, though provincial governors have attempted to halt the missionaries this has only seemed to stir up support for them even further. There are sightings of their pamphlets all over $STATENAME$ now!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME160013;Anti-Manchu Sentiment;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC160013;To many people in China, the Qing Dynasty is seen as ineffective and corrupt, ruled by Manchu foreigners. Bitter hatred has been stirring, particularly in the south. This is especially true in $STATENAME$, where there are reports of rioting after a recent confrontation between locals and Manchu officials.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME160017;Pro-Christian Riots in $STATENAME$!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC160017;Followers of the 'Heavenly Kingdom' are causing further problems in the south. They are already heavily fortified within $PROVINCENAME$, and many Qing advisors consider it completely beyond our control. Anarchy seems rampant, and all throughout $STATENAME$ these rebels are shouting treason. Can nobody do something about this?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME160020;The Taiping Sect Spreads!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC160020;The followers of the so-called 'Heavenly Kingdom' have spread their influence even further. According to officials in $STATENAME$, the Christian rebels have been spotted in $PROVINCENAME$ and sentiment against the Qing Dynasty is on the rise throughout the entire state.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME160025;The Death of Hong Xiuquan;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC160025;Our beloved leader, the glorious and most holy Hong Xiuquan, has passed away-- ascended into Heaven to receive his just rewards from God. Those of us who remain must now look to what will become of the Heavenly Kingdom without his guidance. There are some who say that his son, Hong Tianguifu, should be given the reins of power. Others say that Hong Tianguifu is a buffoon and that a proper republic is the way forward. Still others say the unthinkable-- that Hong Xiuquan's death is a sign that the Heavenly Kingdom has lost favor with God, and that the only way to restore it is restore the Qing Dynasty to the Imperial throne-- without, of course, allowing the Manchu to rule the south like errant lapdogs.;;;;;;;;;;;;x,,,,,,,,,,,,,,,
