end_ottoman_domination_title;End Ottoman Domination;;;;;;;;;;;;;
EVTOPTA00037;We must act immediately!;;;;;;;;;;;;;
EVTOPTB00037;Who cares about the Pope?;;;;;;;;;;;;;
EVTNAME00038;The Ecclesiastical War - Spanish Victory;;;;;;;;;;;;;
EVTDESC00038;As the guns settle in the Mediterranean, the Carlist forces have come out as clearly triumphant in the struggle over the soul of Catholic Europe. As such, we now have the option of dictating terms from a favorable position. Should we so choose, we can simply restore the Pope to his distinguished position on the peninsula, though this has been criticized as a far from permanent solution, as Italy could simply recover it later. Alternatively, we could enforce the Pope as the de facto head of the Italian nation itself, whilst claiming the islands of Sardinia and Sicily to ensure that this treaty can be enforced. Still more particularly militaristic advisors suggest that Italy be partitioned in its entirety, with the Pope being placed in charge of all his traditional holdings, whilst we ourselves lay claim to the rest of the peninsula in the south.;;;;;;;;;;;;;
EVTOPTA00038;We shall only restore what belongs rightfully to the church.;;;;;;;;;;;;;
EVTOPTB00038;We shall place Italy itself under Papal administration.;;;;;;;;;;;;;
EVTOPTC00038;Italy shall be undone.;;;;;;;;;;;;;
EVTNAME00039;The Ecclesiastical War - Spanish Papacy;;;;;;;;;;;;;
EVTDESC00039;With the conclusion of the Spanish intervention in the Italian peninsula, we have been forced out of the city of Rome altogether, and our nation has been split in two. With our nation no longer properly united, and Rome back under Papal rule, we must now choose a new capital.;;;;;;;;;;;;;
EVTOPTA00039;Milan is our capital.;;;;;;;;;;;;;
EVTOPTB00039;Ravenna, the ancient capital of Rome.;;;;;;;;;;;;;
EVTOPTC00039;Venice, the city of the republic.;;;;;;;;;;;;;
EVTNAME00040;The Ecclesiastical War - Papal Italy;;;;;;;;;;;;;
EVTDESC00040;With the Spanish victory against the Italian state secured, the Pope has been placed in charge of the Italian peninsula.;;;;;;;;;;;;;
EVTOPTA00040;A holy throne.;;;;;;;;;;;;;
EVTNAME00041;The Ecclesiastical War - Divided Italy;;;;;;;;;;;;;
EVTDESC00041;In the aftermath of our disastrous defeat in the Ecclesiastical War, Spain has seen fit to destroy the Italian nation in its entirety, breaking the southern half of our nation away from us. In the aftermath, we are forced to choose a new capital.;;;;;;;;;;;;;
EVTOPTA00041;Milan is our capital.;;;;;;;;;;;;;
EVTOPTB00041;Ravenna, the ancient capital of Rome.;;;;;;;;;;;;;
EVTOPTC00041;Venice, the city of the republic.;;;;;;;;;;;;;
EVTNAME00042;The Ecclesiastical War - Italy Victorious;;;;;;;;;;;;;
EVTDESC00042;As expected, the withering Spanish kingdom broke itself upon our shores, and our troops now stand victorious against the dying ancien regime. We will claim what is owed to us.;;;;;;;;;;;;;
EVTOPTA00042;We take what is owed us.;;;;;;;;;;;;;
EVTNAME00043;The Sacrilege Controversy;;;;;;;;;;;;;
EVTDESC00043;In the 1820s, under a royaliste supermajority, the Sacrilege laws were passed, rendering the acts of blasphemy and sacrilege illegal, under penalty of anything from forced labour to death. This highly controversial law has rarely been enforced, but has remained a prominent source of criticism against the highly religious government in Paris. This controversy has recently been reignited with the case of a known liberal agitator, an atheist, who has stolen several items from the local diocese, defaced them, then later returned them in a form of protest against the government. According to the law, he is meant to be executed, although this will undoubtedly anger the liberal population. To refuse to enforce the law in this case will in turn undermine its legitimacy. What shall we do?;;;;;;;;;;;;;
EVTOPTA00043;Enforce the law.;;;;;;;;;;;;;
EVTOPTB00043;Let it slide.;;;;;;;;;;;;;
EVTNAME00044;Belgian Independence - French intervention?;;;;;;;;;;;;;
EVTDESC00044;In the aftermath of the Napoleonic Wars, France was forced to cede the region of Belgium to the Netherlands, in order to turn the latter into a proper balancing power against potentially renewed French expansionism. These culturally French and religiously Catholic lands quickly began to chafe under Dutch rule, and have now risen in revolt against their prior overlords. With their control quickly slipping, the opportunity has come for us to make an offer: we restore order to Belgium, and in return Wallonia is returned to French rule, while Flanders is restored to the Netherlands, a deal the beleagured Dutch are quite likely to accept.;;;;;;;;;;;;;
EVTOPTA00044;Send the offer.;;;;;;;;;;;;;
EVTOPTB00044;Wallonia is lost.;;;;;;;;;;;;;
EVTNAME00045;Belgian Independence - Bourbon Intervention;;;;;;;;;;;;;
EVTDESC00045;In the midst of our catastrophic civil war, an offer has come by the French, opportunistically seeking the return of its lost Belgian territories. Should we accept this offer, the French will doubtlessly restore order to the lost provinces, but it will come at a great cost, that of Wallonia.;;;;;;;;;;;;;
EVTOPTA00045;We have little choice, accept the French offer.;;;;;;;;;;;;;
EVTOPTB00045;The cost is too high.;;;;;;;;;;;;;
EVTNAME00046;Belgian Independence - The Dutch Accept;;;;;;;;;;;;;
EVTDESC00046;The Dutch have wisely accepted our offer to intervene in the Belgian crisis. Let us waste no further time.;;;;;;;;;;;;;
EVTOPTA00046;Finally.;;;;;;;;;;;;;
EVTNAME00047;Belgian Independence - The Dutch Refuse;;;;;;;;;;;;;
EVTDESC00047;The Dutch have refused our generous offer, and we have no choice but to back down.;;;;;;;;;;;;;
EVTOPTA00047;Wallonia is lost.;;;;;;;;;;;;;
EVTOPTB00048;What was that? Hand French territory over?;;;;;;;;;;;;;
EVTNAME00048;Belgian Independence - French victory;;;;;;;;;;;;;
EVTDESC00048;Our armies have marched victoriously into Belgium, as expected. In return, the Dutch will receive Flanders, but renege their cores on Wallonia.;;;;;;;;;;;;;
EVTOPTA00048;Cede to the Dutch what is theirs.;;;;;;;;;;;;;
EVTNAME00049;Instability of the Bourbon Regime;;;;;;;;;;;;;
EVTDESC00049;Despite the great unpopularity of the Bourbon monarchy, it has managed to weather the storm of public opinion, and has secured itself in place as a rightful continuation of the Ancien Regime before it. However, despite this, the liberal sect of the populace remains at great odds with the royalist powers that be, and this does not portend the end of instability within the realm.;;;;;;;;;;;;;
EVTOPTA00049;We will endure.;;;;;;;;;;;;;
EVTNAME00050;Succession of Louis XIX;;;;;;;;;;;;;
EVTDESC00050;The late Charles X's health has been declining rapidly as of late, and with his old age it has become apparent that his end is nigh. As such, it has been decided that Charles X will abdicate in his dying days, leaving the throne to his heir presumptive, who will become known as Louis XIX. His legacy is one of both restoration and rot, the restoration of the old traditions and beliefs of France, but the rot of the very same liberties that the French people attained in the Revolution, his opposition to liberal reforms being the hallmark of his reign. Nevertheless, he will rest with his fathers before him, a king of France.;;;;;;;;;;;;;
EVTOPTA00050;Long live the king!;;;;;;;;;;;;;
EVTNAME00051;Succession of Henri V;;;;;;;;;;;;;
EVTDESC00051;After just a short eight years of rule, Louis XIX has been found dead in his quarters. A man of military stature, he was at the forefront of anti-Bonapartiste sentiment in France, and was a major spearhead of the Bourbon restoration in France when he landed in Bourdeaux, and subsequently led Royaliste forces under the king for many years, even intervening in Spain during its own tumultuous fight against liberal elements. Now, however, aftr such a short reign, and in the midst of ever-increasing liberal agitation, he leaves his throne to Henri V.;;;;;;;;;;;;;
EVTOPTA00051;May his reign last.;;;;;;;;;;;;;
EVTNAME00052;Death of Henri V;;;;;;;;;;;;;
EVTDESC00052;Henri V, king of France, graced by God, has now passed. With him, the legitimate successors to the Bourbon line of Louis XIV has fully died out, and a new king must be selected. Some Legitimistes remain advocates of the absolutist line of the Bourbons, and have thus moved up the line to the Spanish Bourbons, otherwise known as the Carlist claimants to Spain. This is wildly unpopular, even among many monarchists, as this line is blatantly Spanish, and thus foreign to the French people, but selecting it opens the possibility of a power far outstripping that of most European powers, by uniting the Spanish and French thrones into one. Conversely, many Legitimistes have merged with the old Orleaniste movement, backing Philippe II, and thus adopting a more moderate, constitutionalist position. The choice remains ours.;;;;;;;;;;;;;
EVTOPTA00052;The throne shall pass to Jean III, the Spaniard.;;;;;;;;;;;;;
EVTOPTB00052;The throne passes to Philippe II, and the constitution restored.;;;;;;;;;;;;;
EVTNAME00053;Death of Jean III;;;;;;;;;;;;;
EVTDESC00053;Jean III, King of France, rightful king of Spain, has died on this day, after only a short 5 year reign. With him, the line now passes to the next among the Spanish Carlists, a more conservative choice than the prior king. He shall be coronated as Charles XI of France. A military man, it is yet to be seen whether he will enforce the claim inherited by Jean III to the Spanish throne, or whether that eventuality remains little more than a pipe dream to the Bourbon throne.;;;;;;;;;;;;;
